kost_name_rough,kota,type_kos,area,facility_score,harga_nomina
Kost Flamboyan Tembalang Semarang,semarang,putri,tembalang,6,1200000
Kost Bapak Catur Tembalang Semarang,semarang,putra,tembalang,2,500000
Kost House of Jojo Tipe A Tembalang Semarang,semarang,putri,tembalang,2,550000
Kost Pak Tony Tembalang Semarang,semarang,putri,tembalang,4,500000
Kost Putri 18 Banyumanik Semarang,semarang,putri,banyumanik,6,950000
Kost 9b Undip Tembalang Semarang,semarang,campur,tembalang,6,1000000
Kost Bu Tohari Tipe A Lamper Kidul Semarang Selatan,semarang,putra,semarang selatan,0,850000
Kost Bu Tohari Tipe B Lamper Kidul Semarang Selatan,semarang,putra,semarang selatan,2,950000
Kost Medoho Gayamsari Semarang,semarang,campur,gayamsari,0,800000
Kost Ibu Lies Gayamsari Semarang,semarang,putri,gayamsari,0,400000
Kost Ibu Lis Tipe A Gayamsari Semarang,semarang,putri,gayamsari,0,400000
Kost Putri Baterman Kecil Semarang,semarang,putri,semarang tengah,0,1200000
Kost Utami Semarang Selatan,semarang,putri,semarang selatan,6,650000
Kost Jl. Lamper Tengah Semarang Selatan,semarang,campur,semarang selatan,6,1050000
Kost D'Orange Semarang Selatan,semarang,campur,semarang selatan,6,1500000
Kost Pleburan II 4 Semarang Selatan,semarang,putri,semarang selatan,6,1650000
Kost Mugas Simpang Lima Semarang,semarang,putri,semarang selatan,2,550000
Kost Mugas 767 Semarang Selatan,semarang,putri,semarang selatan,2,1000000
Kost Mugas Simpang Lima Semarang Selatan,semarang,putri,semarang selatan,0,550000
Kost Griya Loka Pleburan Simpang Lima Semarang Selatan,semarang,campur,semarang selatan,4,2000000
Kost Arina Gayamsari Semarang,semarang,putri,gayamsari,2,700000
Kost 22 Jl Lamongan Barat 6 Tipe B Gajah Mungkur Semarang,semarang,putri,gajahmungkur,4,750000
Kost 22 Jl Lamongan Barat 6 Tipe A Gajah Mungkur Semarang,semarang,campur,gajahmungkur,2,650000
Kost Griya Stonen Tipe B Gajahmungkur Semarang,semarang,campur,gajahmungkur,4,900000
Kost Exclusive Menoreh Gajahmungkur Semarang,semarang,putri,gajahmungkur,6,1500000
Kost Indriyono Tipe C1 Gajahmungkur Semarang,semarang,putri,gajahmungkur,2,800000
Kost Indriyono Tipe B Gajahmungkur Semarang,semarang,putri,gajahmungkur,2,700000
Kost Indriyono Tipe C2 Gajahmungkur Semarang,semarang,putri,gajahmungkur,2,1200000
Kost Kasih Gajahmungkur Semarang,semarang,putri,gajahmungkur,4,450000
Kost Andalus MenorehUtara Gajahmungkur Semarang,semarang,putri,gajahmungkur,2,550000
Kost Sampangan Tipe C Gajahmungkur Semarang,semarang,campur,gajahmungkur,4,600000
Kost Lamongan  Gajahmungkur Semarang,semarang,campur,gajahmungkur,0,650000
Kost Menoreh Timur Tipe B Gajahmungkur Semarang,semarang,campur,gajahmungkur,4,650000
Kost Bu Siane Tipe A Gajahmungkur Semarang,semarang,putra,gajahmungkur,2,450000
Kost Menoreh Dua Satu Tipe B Sampangan Gajahmungkur Semarang,semarang,putri,gajahmungkur,2,450000
Kost Putri Menoreh Dua Satu Sampangan Semarang,semarang,putri,gajahmungkur,2,500000
Kost Nanda Ngaliyan Semarang,semarang,putra,ngaliyan,2,600000
Kost Uti Menoreh Sampangan Gajahmungkur Semarang,semarang,putri,gajahmungkur,4,450000
Kost Griya Stonen Tipe A Gajahmungkur Semarang,semarang,campur,gajahmungkur,4,1500000
Kost Fitria Gajahmungkur Semarang,semarang,putra,gajahmungkur,0,300000
Kost D'bay 2 Banyumanik Semarang,semarang,putri,banyumanik,6,1500000
Kost Griya Sawunggaling Tipe A Banyumanik Semarang,semarang,putra,banyumanik,2,750000
Kost Paviliun Durian Executive Room Banyumanik Semarang,semarang,putri,banyumanik,6,1700000
Kost Mangga Dalam Selatan Banyumanik Semarang,semarang,campur,banyumanik,4,900000
Kost  ACE Tipe B Banyumanik Semarang,semarang,campur,banyumanik,2,1000000
Kost Bapak Sukarmin Tipe B Banyumanik Semarang,semarang,campur,banyumanik,2,400000
Kost Syariah Poltekes Srondol Wetan Banyumanik Semarang,semarang,putri,banyumanik,6,2600000
Kost Pandu Tipe A Pedurungan Semarang,semarang,campur,pedurungan,4,750000
Kost Pandu 12 Tipe B Pedurungan Semarang,semarang,campur,pedurungan,2,1200000
Kost Nugroho Tipe B Pedurungan Semarang,semarang,campur,pedurungan,4,1000000
Kost Nugroho Tipe A Pedurungan Semarang,semarang,campur,pedurungan,4,700000
Kost Pak Jumangi Pedurungan Semarang,semarang,campur,pedurungan,4,600000
Kost Bu Ratimah Pedurungan Semarang,semarang,campur,pedurungan,2,600000
Kost Bu Siti Tlogosari Pedurungan Semarang,semarang,campur,pedurungan,0,700000
Kost Tlogosari Pedurungan Semarang,semarang,putra,pedurungan,4,400000
Kost Didit Pedurungan Semarang,semarang,campur,pedurungan,4,550000
Kost Bintang Tipe A Tembalang Semarang,semarang,campur,tembalang,4,550000
Kost Regganet Tembalang Semarang,semarang,campur,tembalang,4,600000
Kost Mbak Nia Tipe A Pedurungan Semarang,semarang,campur,pedurungan,2,500000
Kost Mbak Nia Tipe B Pedurungan Semarang,semarang,campur,pedurungan,2,550000
Kost Mbak Nia Tipe C Pedurungan Semarang,semarang,campur,pedurungan,2,600000
Kost Kembar 27 Pedurungan Semarang,semarang,campur,pedurungan,4,600000
Kost Syariah Pasutri Pedurungan Semarang,semarang,campur,pedurungan,0,1350000
Kost Harian Pondok Pakde Pen Pedurungan Semarang,semarang,campur,pedurungan,4,850000
Kost Pondok Pakde Pen Tipe C Pedurungan Semarang,semarang,campur,pedurungan,2,850000
Kost Omah Joglo Gajahmungkur Semarang,semarang,campur,gajahmungkur,2,1750000
Kost Bu Siska Gajahmungkur Semarang,semarang,campur,gajahmungkur,4,700000
Kost De Ghazlina Gajahmungkur Semarang,semarang,putri,gajahmungkur,4,750000
Kost Bapak Sarono Tipe A Gajahmungkur Semarang,semarang,putra,gajahmungkur,2,400000
Kost Bapak Endra Gajahmungkur Semarang,semarang,campur,gajahmungkur,2,650000
Kost Wisma Idea Gajahmungkur Semarang,semarang,campur,gajahmungkur,2,1200000
Kost Pak Mudjiono Singosari Malang,malang,campur,singosari,4,425000
Kost Biru 2 Singosari Malang,malang,putra,singosari,2,400000
Kost Karanglo 19C Tipe B Singosari Malang,malang,putra,singosari,2,425000
Kost Angker Singosari Malang,malang,putra,singosari,2,400000
Kost Ibu Tutik Singosari Malang,malang,campur,singosari,0,400000
Kost Putra Mondoroko Singosari Malang,malang,putra,singosari,0,300000
Kost Jl. Suropati Singosari Malang,malang,putra,singosari,2,350000
Kost Bapak Mukaji Singosari Malang,malang,putra,singosari,0,450000
Kost P Tohir Sempol Singosari Malang,malang,putra,singosari,2,225000
Kost Karanglo Singosari Malang,malang,putra,singosari,4,350000
Kost Toko Jaya Abadi Tipe A Singosari Malang,malang,campur,singosari,4,350000
Kost Toko Jaya Abadi Tipe B Singosari Malang,malang,campur,singosari,4,550000
Kost Tunjungtirto Singosari Malang,malang,putra,singosari,2,250000
Kost Karolin Blimbing Malang,malang,campur,blimbing,6,1500000
Kost  54B Singosari Malang,malang,putra,singosari,4,450000
Kost Berkah Singosari Malang,malang,putri,singosari,2,550000
Kost Putra Manggar Tipe C Lowokwaru Malang,malang,putra,lowokwaru,4,500000
Kost Ratu Boarding House Tipe A Klojen Malang,malang,putri,klojen,6,2500000
Kost Ratu Boarding House Tipe B Klojen Malang,malang,putra,klojen,6,2500000
Kost Grand ABM Lowokwaru Malang,malang,campur,lowokwaru,4,1400000
Kost Bu Nur Lowokwaru Malang,malang,putri,lowokwaru,2,450000
Kost Gajayana Lowokwaru Malang,malang,putri,lowokwaru,4,500000
Kost Bantaran IIID Lowokwaru Malang,malang,putra,lowokwaru,2,500000
Kost Muslim Dwiga Lowokwaru Malang,malang,putra,lowokwaru,4,750000
Kost Jalan Kendalsari no 41 Lowokwaru Malang,malang,putri,lowokwaru,2,500000
Kost D'Maktab Homestay Lowokwaru Malang,malang,campur,lowokwaru,6,2500000
Kost LiSanda Lowokwaru Malang,malang,putra,lowokwaru,2,850000
Kost Semanggi Barat Tipe B Lowokwaru Malang,malang,putri,lowokwaru,2,450000
Kost Semanggi Barat Tipe A Lowokwaru Malang,malang,putri,lowokwaru,2,400000
Kost Matahari Lowokwaru Malang,malang,putri,lowokwaru,2,500000
Kost Gandrung Lowokwaru Malang,malang,putri,lowokwaru,4,750000
Kost Iin Tipe B Lowokwaru Malang,malang,putra,lowokwaru,4,800000
Kost Kamar Mandi Dalam Kalpataru 65 Lowokwaru Malang,malang,putra,lowokwaru,6,800000
Kost Kalpataru 65 Lowokwaru Malang,malang,putra,lowokwaru,4,600000
Kostan Putra Pagarra Syariah Tipe A Lowokwaru Malang,malang,putra,lowokwaru,6,1000000
Kost 249A Lowokwaru Malang,malang,putri,lowokwaru,2,500000
Kost N'Cafe A'isy Dhasyad Kepanjen Malang,malang,campur,kepanjen,6,600000
Kost Putri Bu Sarni Kepanjen Malang,malang,putri,kepanjen,4,350000
Kost LG Homestay Kepanjen Malang,malang,campur,kepanjen,6,650000
Kost Laos Kepanjen Malang,malang,putra,kepanjen,4,500000
Kost Al-Qodri Kepanjen Malang,malang,campur,kepanjen,0,400000
Kost Karyawan Kepanjen Malang,malang,putra,kepanjen,4,800000
Kost Adisantuso 20 Kepanjen Malang,malang,putra,kepanjen,6,600000
Kost Ibu Titis Tipe A Kepanjen Malang,malang,putri,kepanjen,2,300000
Kost Griya Panji Kepanjen Malang,malang,putri,kepanjen,4,350000
Kost Kepanjen Fariyana Kepanjen Malang,malang,putra,kepanjen,6,600000
Kost Barokah Tipe B Kepanjen Malang,malang,putra,kepanjen,6,500000
Kost Barokah Tipe A Kepanjen Malang,malang,putra,kepanjen,4,450000
Kost Buk Maning Kepanjen  Malang,malang,campur,kepanjen,4,500000
Kost Ibu Soes Tipe A Kepanjen Malang,malang,putri,kepanjen,4,450000
Kost Ibu Soes Tipe B Kepanjen Malang,malang,putri,kepanjen,6,500000
Kost Al Amin Kepanjen Malang,malang,putri,kepanjen,2,500000
Kost Ibu Titis Tipe B Kepanjen Malang,malang,putri,kepanjen,4,350000
Kost Asri Kepanjen Malang,malang,campur,kepanjen,6,600000
Kost Putri Muslim Kertopamuji 6 Lowokwaru Malang,malang,putri,lowokwaru,2,700000
Kost Kav 26 Lowokwaru Malang,malang,putri,lowokwaru,4,800000
Kost Terusan Surabaya Blok-A No.14-G Lowokwaru Malang,malang,putri,lowokwaru,6,850000
Kost Sumbersari 3-A 224 Lowokwaru Malang,malang,putri,lowokwaru,4,600000
Kost Mantika Lowokwaru Malang,malang,putri,lowokwaru,6,900000
Kost Adea Sukun Malang,malang,putri,sukun,4,950000
Kost Putri Kalijaga Lowokwaru Malang,malang,putri,lowokwaru,6,950000
Kost Andy Jaya Lowokwaru Malang,malang,putra,lowokwaru,2,400000
Kost Andy Jaya Panjaitan Klojen Malang,malang,putri,klojen,2,425000
Kost Dasti Sukun Malang,malang,putri,sukun,6,1000000
Kost Sumbersari VI/16 Tipe A Lowokwaru Malang,malang,putra,lowokwaru,4,600000
Kost Sumbersari 4/60B Lowokwaru Kota Malang,malang,putri,lowokwaru,0,600000
Kost Ruko Bening SIgura Gura Malang,malang,putra,lowokwaru,2,600000
Kost Pak Kusno Sukun Malang,malang,putra,sukun,6,700000
Kost Sumbersari Tipe C Lowokwaru Malang,malang,putra,lowokwaru,2,500000
Kost Muslimah Nawangan Lowokwaru Malang,malang,putri,lowokwaru,2,550000
Kost Wadas Lintang Tipe A Lowokwaru Malang,malang,putri,lowokwaru,4,350000
Kost Devy Lowokwaru Malang,malang,putri,lowokwaru,2,700000
Kost Ibu Titi 2 Batu Malang,malang,campur,batu,2,350000
Kost Afiasari Batu Malang,malang,putra,batu,2,500000
Kost White Batu,malang,campur,batu,4,500000
Kost Sakura Pesanggrahan Batu,malang,campur,batu,6,750000
Kost Pak Warisin Tipe B Batu Malang,malang,campur,batu,4,600000
Kost Raya Pattimura 37 Batu,malang,putra,batu,6,2000000
Kost Griya Syafa Batu Malang,malang,putri,batu,4,420000
Kost Pak To Soto I Batu,malang,campur,batu,4,450000
Kost Samadi Tipe D Batu,malang,putri,batu,4,700000
Kost Samadi Tipe A Batu,malang,putri,batu,2,400000
Kost Samadi Tipe B Batu,malang,putri,batu,4,500000
Kost Samadi Tipe C Batu,malang,putri,batu,4,600000
Kost Jalan Wukir Batu Malang,malang,putra,batu,4,400000
Kost Chimoen Batu,malang,putri,batu,4,400000
Kost L Jl. Suropati Gang Karate Batu,malang,campur,batu,6,750000
Kost Abah Heru Batu Premium Batu Malang,malang,campur,batu,4,750000
Kost Pak Warisin Tipe A Batu Malang,malang,campur,batu,2,375000
Kost Nonalisa Boarding House Sukun Malang,malang,putri,sukun,0,500000
Kost Srikandi Sukun Malang,malang,putri,sukun,4,300000
Kost Jl Simpang Kepuh Utara Sukun Malang,malang,campur,sukun,6,750000
Kost 3 Dara Tipe C Sukun Malang,malang,putri,sukun,2,1000000
Kost 3 Dara Tipe D Sukun Malang,malang,putri,sukun,2,1250000
Kost 3 Dara Tipe E Sukun Malang,malang,putri,sukun,2,1400000
Kost 3 Dara Tipe B Sukun Malang,malang,putri,sukun,2,900000
Kost 3 Dara Tipe A Sukun Malang,malang,putri,sukun,2,700000
Kost Nonalisa Sukun Malang,malang,putri,sukun,2,1000000
Kost Barokah Sukun Malang,malang,putra,sukun,6,450000
Kost Vfaeyfa Sukun Malang,malang,putri,sukun,0,530000
Kost Bu Indah Sukun Malang,malang,putra,sukun,6,500000
Kost Indah Janti Sukun Malang,malang,putri,sukun,4,700000
Kost Janti Sukun Malang,malang,putra,sukun,4,500000
Kost Merpati Sukun Malang,malang,putri,sukun,6,600000
Kost University Park Sukun Malang,malang,putri,sukun,2,500000
Kost Omah Mas Ozi Tipe B Klojen Malang,malang,putri,klojen,4,450000
Kost Griya Tipe C Sukun Malang,malang,putri,sukun,4,550000
Kost Griya Putri Sukun Malang,malang,putri,sukun,6,900000
Kost Total Sukun Malang,malang,putra,sukun,4,450000
Kost Fortuna Blimbing Malang,malang,putra,blimbing,6,850000
Kost Karyawan Eksklusif Blimbing Malang,malang,putra,blimbing,6,1500000
Kost Putri Kak Mella. Jln. Karya Timur Glintung Gang 4 No.63 Blimbing Malang,malang,putri,blimbing,2,450000
Kost Btari House Tipe B Blimbing Malang,malang,campur,blimbing,4,600000
Kost LA Sucipto 57A Tipe A Blimbing Malang,malang,putri,blimbing,4,600000
Kost LA Sucipto 57A Tipe B Blimbing Malang,malang,putri,blimbing,4,650000
Kost Borobudur IVB/9 Blimbing Malang,malang,putri,blimbing,0,400000
Kost Cimadur Tipe B Blimbing Malang,malang,putra,blimbing,4,750000
Kost Ibu Rani Tipe B Blimbing Malang,malang,putri,blimbing,2,700000
Kost Ibu Rani Tipe A Blimbing Malang,malang,putri,blimbing,2,400000
Kost Murah Tipe A Blimbing Malang,malang,putri,blimbing,0,350000
Kost Murah Tipe C Blimbing Malang,malang,putri,blimbing,2,550000
Kost Putri Ripin Lowokwaru Malang,malang,putri,lowokwaru,6,600000
Kost Sumbersari Gang 3 229A Tipe B Lowokwaru Malang,malang,putri,lowokwaru,4,900000
Kost Sumbersari  254A Tipe A Lowokwaru Malang,malang,putri,lowokwaru,2,750000
Kost Sumbersari  254A Tipe B Lowokwaru Malang,malang,putri,lowokwaru,2,800000
Kost Sumbersari Gang 3 229A Tipe A Lowokwaru Malang,malang,putri,lowokwaru,0,800000
Kost Sumbersari Gang 3 229A Tipe C Lowokwaru Malang,malang,putri,lowokwaru,4,1800000
Kost Pak Tohir Tipe B Lowokwaru Malang,malang,putri,lowokwaru,2,580000
Kost Pak Tohir Tipe A Lowokwaru Malang,malang,putri,lowokwaru,2,700000
Kost UB Bunga Matahari Lowokwaru Malang,malang,putri,lowokwaru,6,1300000
Kost Omakost Dieng Tipe A Sukun Malang,malang,putra,sukun,4,550000
Kost Bu Fitri Sukun Malang,malang,putri,sukun,0,650000
Kost Prabawira Klojen Malang,malang,putri,klojen,4,1000000
Kost Putri Ibu Yeni Candi 2 Tipe A Sukun Malang,malang,putri,sukun,6,650000
Kost Sumbersari VI/16 Tipe B Lowokwaru Malang,malang,putra,lowokwaru,4,600000
Kost Candi Badut 231 Sukun Malang,malang,putri,sukun,6,500000
Kost Bu Ali Jalan Mayjen Panjaitan Malang,malang,putri,klojen,4,450000
Kost Putri Athalia Tipe A Sukun Malang,malang,putri,sukun,4,500000
Kost Jln Kembang Kertas Tipe A Lowokwaru Malang,malang,putra,lowokwaru,6,900000
Kost PW Lowokwaru Malang,malang,putri,lowokwaru,2,850000
Kost Bu Aisyah Lowokwaru Malang,malang,putra,lowokwaru,6,500000
Kost Putri Keramik Dinoyo Malang,malang,putri,lowokwaru,4,416000
Kost Putri Pakpin Dinoyo Malang,malang,putri,lowokwaru,4,416000
Kost Dinoyo Permai Tipe C Lowokwaru Malang,malang,putra,lowokwaru,4,600000
Kost Suhat Putri Lowokwaru Malang,malang,putri,lowokwaru,6,900000
Kost Jl Taman Bunga Merak Lowokwaru Malang,malang,putra,lowokwaru,6,850000
Kost Putra Ibu Ida Candi Mendut Lowokwaru Malang,malang,putra,lowokwaru,6,800000
Kost Putra Ibu Ida Kendalsari Lowokwaru Malang,malang,putra,lowokwaru,4,600000
Kost Griya Shanta C-273 Lowokwaru Malang,malang,putri,lowokwaru,6,650000
Kost Divyanisa Lowokwaru Malang,malang,putri,lowokwaru,4,1500000
Kost TWKA 32 Lowokwaru Malang,malang,putri,lowokwaru,4,900000
Kost Bu Yudi Griyashanta Tipe C Lowokwaru Malang,malang,putra,lowokwaru,4,1250000
Kost Bu Yudi Griyashanta Tipe A Lowokwaru Malang,malang,putra,lowokwaru,2,900000
Kost Griya Asma Tipe B Lowokwaru Malang,malang,putri,lowokwaru,4,550000
Kost Cozy Putra Lowokwaru Malang,malang,putra,lowokwaru,6,1400000
