texts,kota,type_kos,area,fasilitas,harga_nomina
"Kos Andalan
 
	Campur
    
				Kost Kebon Kacang 9 Tanah Abang Jakarta Pusat
			  Tanah Abang 
				WiFi · Akses 24 Jam
			     
							Rp 1.750.000
						 
							/ bulan",jakarta,Campur,Tanah Abang,"['WiFi','Akses 24 Jam']",1750000
"Kos Andalan
 
	Campur
    
				Kost CheChe Residence Tanah Abang Jakarta Pusat
			  Tanah Abang 
				K. Mandi Dalam · Akses 24 Jam
			     
							Rp 1.400.000
						 
							/ bulan",jakarta,Campur,Tanah Abang,"['K. Mandi Dalam','Akses 24 Jam']",1400000
"Kos Andalan
 
	Campur
    
				Kost Ahira Syariah Tipe A Tanah Abang Jakarta Pusat
			  Tanah Abang 
				WiFi · Akses 24 Jam
			     
							Rp 1.800.000
						 
							/ bulan",jakarta,Campur,Tanah Abang,"['WiFi','Akses 24 Jam']",1800000
"Kos Andalan
 
	Campur
    
				Kost Target Batu Ceper Residence Harmoni Gambir Jakarta Pusat 
			  Gambir 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 2.000.000
						 
							/ bulan",jakarta,Campur,Gambir,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",2000000
"Kos Andalan
 
	Putri
    
				Kost Eiffel Petojo Tarakan Tipe C  Gambir Jakarta Pusat
			  Gambir 
				WiFi · Akses 24 Jam
			     
							Rp 1.200.000
						 
							/ bulan",jakarta,Putri,Gambir,"['WiFi','Akses 24 Jam']",1200000
"Kos Andalan
 
	Campur
    
				Kost Wisma 9 Tipe A Tanah Abang Jakarta Pusat
			  Tanah Abang 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 3.500.000
						 
							/ bulan",jakarta,Campur,Tanah Abang,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",3500000
"Kos Andalan
 
	Campur
    
				Kost Shalom Tipe C Senen Jakarta Pusat
			  Senen 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 3.600.000
						 
							/ bulan",jakarta,Campur,Senen,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",3600000
"Kos Andalan
 
	Putri
    
				Kost Eiffel Petojo Tarakan Gambir Jakarta Pusat
			  Gambir 
				WiFi · Akses 24 Jam
			     
							Rp 1.000.000
						 
							/ bulan
						  4.9",jakarta,Putri,Gambir,"['WiFi','Akses 24 Jam']",1000000
"Putri
 
	Sisa 2 Kamar
   
				Kost Raivara Room's Cilandak Jakarta Selatan
			  Cilandak 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 3.000.000
						 
							/ bulan",jakarta,Putri,Cilandak,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",3000000
"Campur
 
	Sisa 1 Kamar
   
				Kost Muhasyim Icon Tipe D Cilandak Barat Jakarta Selatan
			  Cilandak 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 2.600.000
						 
							/ bulan",jakarta,Campur,Cilandak,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",2600000
"Campur
 
	Sisa 2 Kamar
   
				Kost  Idaman Homy Residence Fatmawati Cilandak Jakarta Selatan
			  Cilandak 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 2.350.000
						 
							/ bulan
						  4.9",jakarta,Campur,Cilandak,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",2350000
"Campur
 
	Sisa 1 Kamar
   
				Kost Jabu C Cilandak Jakarta Selatan
			  Cilandak 
				
			     
							Rp 3.000.000
						 
							/ bulan",jakarta,Campur,Cilandak,[''],3000000
"Campur
 
	Sisa 1 Kamar
   
				Kost BDN I/24 Cilandak Jakarta Selatan
			  Cilandak 
				K. Mandi Dalam · WiFi
			     
							Rp 950.000
						 
							/ bulan",jakarta,Campur,Cilandak,"['K. Mandi Dalam ', ' WiFi']",950000
"Kos Andalan
 
	Campur
    
				Kost Cia Meliala Cilandak Jakarta Selatan
			  Cilandak 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.800.000
						 
							/ bulan",jakarta,Campur,Cilandak,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",1800000
"Campur
 
	Sisa 3 Kamar
   
				Kost Casa Panorama Tipe F Lebak Bulus Cilandak Jakarta Selatan
			  Cilandak 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 3.700.000
						 
							/ bulan",jakarta,Campur,Cilandak,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",3700000
"Campur
 
	Sisa 2 Kamar
   
				Kost PIM Tipe A Cilandak Jakarta Selatan
			  Cilandak 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.400.000
						 
							/ bulan",jakarta,Campur,Cilandak,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",1400000
"Campur
    
				Kost Casa Panorama Tipe C Lebak Bulus Cilandak Jakarta Selatan
			  Cilandak 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 3.300.000
						 
							/ bulan",jakarta,Campur,Cilandak,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",3300000
"Campur
 
	Sisa 1 Kamar
   
				Kost Casa Panorama Tipe B Lebak Bulus Cilandak Jakarta Selatan
			  Cilandak 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 3.000.000
						 
							/ bulan",jakarta,Campur,Cilandak,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",3000000
"Campur
    
				Kost Fatmawati Mrt H Nawi Cilandak Jakarta Selatan
			  Cilandak 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.700.000
						 
							/ bulan
						  1.0",jakarta,Campur,Cilandak,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",1700000
"Kos Andalan
 
	Campur
    
				Kost Bhakti Mulus Pasar Minggu Jakarta Selatan
			  Pasar Minggu 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.700.000
						 
							/ bulan",jakarta,Campur,Pasar Minggu,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",1700000
"Kos Andalan
 
	Campur
    
				Kost Flamboyan Residence Cilandak Jakarta Selatan
			  Cilandak 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 4.500.000
						 
							/ bulan",jakarta,Campur,Cilandak,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",4500000
"Campur
 
	Sisa 1 Kamar
   
				Kost Muhasyim Icon Tipe G Cilandak Barat Jakarta Selatan
			  Cilandak 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 2.200.000
						 
							/ bulan",jakarta,Campur,Cilandak,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",2200000
"Campur
 
	Sisa 1 Kamar
   
				Kost Cilandak Indah Pasar Minggu Jakarta Selatan
			  Pasar Minggu 
				
			     
							Rp 2.000.000
						 
							/ bulan
						  4.8",jakarta,Campur,Pasar Minggu,[''],2000000
"Kos Andalan
 
	Putri
    
				Kost Baik Cilandak Jakarta Selatan
			  Cilandak 
				K. Mandi Dalam
			     
							Rp 1.600.000
						 
							/ bulan",jakarta,Putri,Cilandak,['K. Mandi Dalam'],1600000
"Campur
 
	Sisa 1 Kamar
   
				Kost Jabu Jakarta Selatan
			  Cilandak 
				K. Mandi Dalam
			     
							Rp 5.000.000
						 
							/ bulan",jakarta,Campur,Cilandak,['K. Mandi Dalam'],5000000
"Campur
 
	Sisa 1 Kamar
   
				Kost Murah Fatmawati Bonavista Cilandak Jakarta Selatan
			  Cilandak 
				K. Mandi Dalam · WiFi
			     
							Rp 4.900.000
						 
							/ bulan",jakarta,Campur,Cilandak,"['K. Mandi Dalam ', ' WiFi']",4900000
"Campur
 
	Sisa 1 Kamar
   
				Kost Jabu B Cilandak Jakarta Selatan
			  Cilandak 
				
			     
							Rp 4.000.000
						 
							/ bulan",jakarta,Campur,Cilandak,[''],4000000
"Kos Andalan
 
	Campur
    
				Kost Jl Kelapa Puan Tipe C  Kelapa Gading Jakarta Utara
			  Kelapa Gading 
				WiFi · Akses 24 Jam
			     
							Rp 950.000
						 
							/ bulan",jakarta,Campur,Kelapa Gading,"['WiFi','Akses 24 Jam']",950000
"Kos Andalan
 
	Putra
    
				Kost Hijau Daun Tipe A Kelapa Gading Jakarta Utara
			  Kelapa Gading 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 800.000
						 
							/ bulan",jakarta,Putra,Kelapa Gading,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",800000
"Kos Andalan
 
	Campur
    
				Kost Eksekutif Boulevard Kelapa Gading Jakarta Utara
			  Kelapa Gading 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 3.500.000
						 
							/ bulan",jakarta,Campur,Kelapa Gading,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",3500000
"Kos Andalan
 
	Putri
    
				Kost Putri Kelapa Gading Ibu Elis Jakarta Utara
			  Kelapa Gading 
				K. Mandi Dalam · WiFi
			     
							Rp 2.100.000
						 
							/ bulan",jakarta,Putri,Kelapa Gading,"['K. Mandi Dalam','WiFi']",2100000
"Kos Andalan
 
	Campur
    
				Kost The Blessing Residence Tipe A Kelapa Gading Jakarta Utara
			  Kelapa Gading 
				K. Mandi Dalam · WiFi
			     
							Rp 1.900.000
						 
							/ bulan",jakarta,Campur,Kelapa Gading,"['K. Mandi Dalam','WiFi']",1900000
"Kos Andalan
 
        Campur
    
                                Kost Premium Gading Putih Tipe 2 Kelapa Gading Timur Jakarta Utara
                          Kelapa Gading 
                                K. Mandi Dalam · Akses 24 Jam
                             
                                                        Rp 2.300.000
                                                 
                                                        / bulan",jakarta,Campur,Kelapa Gading,"['K. Mandi Dalam','Akses 24 Jam']",2300000
"Kos Andalan
 
	Campur
    
				Kost The Blessing Residence Tipe B Kelapa Gading Jakarta Utara
			  Kelapa Gading 
				K. Mandi Dalam · WiFi
			     
							Rp 2.350.000
						 
							/ bulan",jakarta,Campur,Kelapa Gading,"['K. Mandi Dalam','WiFi']",2350000
"Campur
 
	Sisa 3 Kamar
   
				Kost Joyo Kelapa Gading Jakarta Utara
			  Kelapa Gading 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 2.500.000
						 
							/ bulan",jakarta,Campur,Kelapa Gading,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",2500000
"Kos Andalan
 
	Campur
    
				Kost Gading Elok Cengkir Tipe B Kelapa Gading Jakarta Utara
			  Kelapa Gading 
				
			     
							Rp 1.200.000
						 
							/ bulan",jakarta,Campur,Kelapa Gading,[''],1200000
"Kos Andalan
 
	Campur
    
				Kost Top Gading Tipe B Kelapa Gading Jakarta Utara
			  Kelapa Gading 
				WiFi
			     
							Rp 2.000.000
						 
							/ bulan",jakarta,Campur,Kelapa Gading,['WiFi'],2000000
"Kos Andalan
 
	Campur
    
				Kost Royale Tipe Standart Kelapa Gading Jakarta Utara
			  Kelapa Gading 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.800.000
						 
							/ bulan
						  2.9",jakarta,Campur,Kelapa Gading,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",1800000
"Putri
 
	Sisa 3 Kamar
   
				Kost Sobat Buah Kelapa Gading Jakarta Utara
			  Kelapa Gading 
				
			     
							Rp 1.000.000
						 
							/ bulan",jakarta,Putri,Kelapa Gading,[''],1000000
"Kos Andalan
 
	Campur
    
				Kost Top Gading Tipe A Kelapa Gading Jakarta Utara
			  Kelapa Gading 
				K. Mandi Dalam · WiFi
			     
							Rp 2.000.000
						 
							/ bulan",jakarta,Campur,Kelapa Gading,"['K. Mandi Dalam','WiFi']",2000000
"Kos Andalan
 
	Campur
    
				Kost Murah Jl Kelapa Puan Tipe B Kelapa Gading Jakarta Utara
			  Kelapa Gading 
				WiFi · Akses 24 Jam
			     
							Rp 700.000
						 
							/ bulan
						  4.5",jakarta,Campur,Kelapa Gading,"['WiFi','Akses 24 Jam']",700000
"Campur
 
	Sisa 2 Kamar
   
				Kost Kelapa Gading Timur Tipe A Kelapa Gading Jakarta Utara
			  Kelapa Gading 
				K. Mandi Dalam · WiFi
			     
							Rp 1.800.000
						 
							/ bulan
						  5.0",jakarta,Campur,Kelapa Gading,"['K. Mandi Dalam ', ' WiFi']",1800000
"Kos Andalan
 
	Campur
    
				Kost Top Gading Tipe C Kelapa Gading Jakarta Utara
			  Kelapa Gading 
				K. Mandi Dalam · WiFi
			     
							Rp 3.000.000
						 
							/ bulan",jakarta,Campur,Kelapa Gading,"['K. Mandi Dalam','WiFi']",3000000
"Kos Andalan
 
	Campur
    
				Kost Zam Zam Life  Kelapa Gading Jakarta Utara
			  Kelapa Gading 
				K. Mandi Dalam · WiFi
			     
							Rp 2.000.000
						 
							/ bulan",jakarta,Campur,Kelapa Gading,"['K. Mandi Dalam','WiFi']",2000000
"Kos Andalan
 
	Campur
    
				Kost Gading Elok Residence II Tipe Single Bed Kelapa Gading Jakarta Utara
			  Kelapa Gading 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 2.100.000
						 
							/ bulan
						  5.0",jakarta,Campur,Kelapa Gading,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",2100000
"Kos Andalan
 
	Campur
    
				Kost Jl Kelapa Puan Tipe A Kelapa Gading Jakarta Utara
			  Kelapa Gading 
				WiFi · Akses 24 Jam
			     
							Rp 800.000
						 
							/ bulan
						  5.0",jakarta,Campur,Kelapa Gading,"['WiFi','Akses 24 Jam']",800000
"Kos Andalan
 
	Campur
    
				Kost Gading Elok Cengkir Tipe A Kelapa Gading Jakarta Utara
			  Kelapa Gading 
				K. Mandi Dalam · Akses 24 Jam
			     
							Rp 1.500.000
						 
							/ bulan",jakarta,Campur,Kelapa Gading,"['K. Mandi Dalam','Akses 24 Jam']",1500000
"Putra
 
	Sisa 1 Kamar
   
				Kost Singgahsini East 37 Tipe A Tebet Timur Jakarta Selatan
			  Tebet 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.890.000
						 
							/ bulan
						  4.3",jakarta,Putra,Tebet,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",1890000
"Putra
 
	Sisa 2 Kamar
   
				Kost Singgahsini East 37 Tipe C Tebet Timur Jakarta Selatan
			  Tebet 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 2.268.000
						 
							/ bulan
						  5.3",jakarta,Putra,Tebet,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",2268000
"Kos Andalan
 
	Campur
    
				Kost Keyko Residence Tebet Jakarta Selatan
			  Tebet 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 2.000.000
						 
							/ bulan",jakarta,Campur,Tebet,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",2000000
"Putri
 
	Sisa 2 Kamar
   
				Kost Singgahsini Garuda 19 Tipe B Tebet Jakarta Selatan
			  Tebet 
				WiFi · Akses 24 Jam
			     
							Rp 1.890.000
						 
							/ bulan
						  5.0",jakarta,Putri,Tebet,"['WiFi ', ' Akses 24 Jam']",1890000
"Kos Andalan
 
	Campur
    
				Kost Rumah Kayu Manis Tipe A Tebet Jakarta Selatan GF
			  Tebet 
				K. Mandi Dalam · WiFi
			     
							Rp 2.300.000
						 
							/ bulan",jakarta,Campur,Tebet,"['K. Mandi Dalam','WiFi']",2300000
"Campur
 
	Sisa 2 Kamar
   
				Kost Singgahsini East 37 Tipe D Tebet Timur Jakarta Selatan
			  Tebet 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 2.538.000
						 
							/ bulan",jakarta,Campur,Tebet,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",2538000
"Campur
 
	Sisa 2 Kamar
   
				Kost LeGreen Suite Tebet No. 24 Tipe B Tebet Jakarta Selatan
			  Tebet 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 4.000.000
						 
							/ bulan",jakarta,Campur,Tebet,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",4000000
"Putri
 
	Sisa 1 Kamar
   
				Kost Teh Lia Tipe D Tebet Jakarta Selatan
			  Tebet 
				K. Mandi Dalam · WiFi
			     
							Rp 3.000.000
						 
							/ bulan
						  4.8",jakarta,Putri,Tebet,"['K. Mandi Dalam ', ' WiFi']",3000000
"Putri
 
	Sisa 3 Kamar
   
				Kost Singgahsini Homey Hompy Tipe B Tebet Jakarta Selatan
			  Tebet 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 2.628.000
						 
							/ bulan
						  4.8",jakarta,Putri,Tebet,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",2628000
"Campur
 
	Sisa 3 Kamar
   
				Kost LeGreen Suite Tebet No. 24 Tipe A Tebet Jakarta Selatan
			  Tebet 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 5.000.000
						 
							/ bulan",jakarta,Campur,Tebet,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",5000000
"Putri
 
	Sisa 2 Kamar
   
				Kost LeGreen Suite Supomo No. 1 Tebet Jakarta Selatan
			  Tebet 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 4.500.000
						 
							/ bulan",jakarta,Putri,Tebet,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",4500000
"Putra
 
	Sisa 1 Kamar
   
				Kost Singgahsini East 37 Tipe B Tebet Timur Jakarta Selatan
			  Tebet 
				WiFi · Akses 24 Jam
			     
							Rp 2.020.000
						 
							/ bulan
						  4.6",jakarta,Putra,Tebet,"['WiFi ', ' Akses 24 Jam']",2020000
"Putri
 
	Sisa 1 Kamar
   
				Kost Teh Lia Tipe A Tebet Jakarta Selatan
			  Tebet 
				WiFi
			     
							Rp 2.700.000
						 
							/ bulan",jakarta,Putri,Tebet,['WiFi'],2700000
"Kos Andalan
 
	Campur
    
				Kost Rumah Kayu Manis Tipe B Tebet Jakarta Selatan GF
			  Tebet 
				K. Mandi Dalam · WiFi
			     
							Rp 2.800.000
						 
							/ bulan",jakarta,Campur,Tebet,"['K. Mandi Dalam','WiFi']",2800000
"Putri
 
	Sisa 3 Kamar
   
				Kost Singgahsini Homey Hompy Tipe A Tebet Jakarta Selatan
			  Tebet 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 2.538.000
						 
							/ bulan",jakarta,Putri,Tebet,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",2538000
"Kos Andalan
 
	Putri
    
				Kost Cherry Guesthouse Trisakti Grogol Petamburan Jakarta Barat
			  Grogol petamburan 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.800.000
						 
							/ bulan
						  4.3",jakarta,Putri,Grogol petamburan,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",1800000
"Putra
 
	Sisa 3 Kamar
   
				Kost Singgahsini Malira Tipe C Tomang Jakarta Barat
			  Grogol petamburan 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 2.439.000
						 
							/ bulan
						  4.7",jakarta,Putra,Grogol petamburan,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",2439000
"Putra
 
	Sisa 1 Kamar
   
				Kost Singgahsini Sherwood Residence Tipe E Grogol Petamburan Jakarta Barat
			  Grogol petamburan 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 2.220.000
						 
							/ bulan
						  4.8",jakarta,Putra,Grogol petamburan,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",2220000
"Campur
    
				Kost Singgahsini Pavillion 66 Tipe A Palmerah Jakarta Barat
			  Palmerah 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 2.530.800
						 
							/ bulan
						  4.5",jakarta,Campur,Palmerah,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",2530000
"Campur
 
	Sisa 4 Kamar
   
				Kost Singgahsini Star Residence Tipe C Palmerah Jakarta Barat
			  Palmerah 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.998.000
						 
							/ bulan
						  4.1",jakarta,Campur,Palmerah,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",1998000
"Campur
    
				Kost Singgahsini Susilo Residence D10 Grogol Petamburan Jakarta Barat
			  Grogol petamburan 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.970.000
						 
							/ bulan
						  3.5",jakarta,Campur,Grogol petamburan,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",1970000
"Campur
 
	Sisa 1 Kamar
   
				Kost Singgahsini Gelong Residence 25 Tipe B Grogol Petamburan Jakarta Barat
			  Grogol petamburan 
				WiFi · Akses 24 Jam
			     
							Rp 1.818.000
						 
							/ bulan",jakarta,Campur,Grogol petamburan,"['WiFi ', ' Akses 24 Jam']",1818000
"Campur
 
	Sisa 1 Kamar
   
				Kost Singgahsini Gelong Residence 27 Tipe B Grogol Petamburan Jakarta Barat
			  Grogol petamburan 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 2.358.000
						 
							/ bulan
						  4.5",jakarta,Campur,Grogol petamburan,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",2358000
"Putra
 
	Sisa 1 Kamar
   
				Kost Singgahsini Sherwood Residence Tipe A Grogol Petamburan Jakarta Barat
			  Grogol petamburan 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 2.020.000
						 
							/ bulan
						  5.0",jakarta,Putra,Grogol petamburan,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",2020000
"Putra
 
	Sisa 3 Kamar
   
				Kost Singgahsini Malira Tipe D Tomang Jakarta Barat
			  Grogol petamburan 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 2.448.000
						 
							/ bulan",jakarta,Putra,Grogol petamburan,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",2448000
"Putri
    
				Kost Singgahsini Sherwood Residence Tipe C Grogol Petamburan Jakarta Barat
			  Grogol petamburan 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 2.120.000
						 
							/ bulan
						  4.5",jakarta,Putra,Grogol petamburan,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",2120000
"Putra
 
	Sisa 2 Kamar
   
				Kost Singgahsini Malira Tipe A Tomang Jakarta Barat                
			  Grogol petamburan 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 2.335.500
						 
							/ bulan",jakarta,Putra,Grogol petamburan,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",2335500
"Campur
 
	Sisa 1 Kamar
   
				Kost Singgahsini Star Residence Tipe D Palmerah Jakarta Barat
			  Palmerah 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 2.820.000
						 
							/ bulan",jakarta,Campur,Palmerah,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",2820000
"Campur
 
	Sisa 2 Kamar
   
				Kost Singgahsini Star Residence Tipe B Palmerah Jakarta Barat
			  Palmerah 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.980.000
						 
							/ bulan",jakarta,Campur,Palmerah,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",1980000
"Putri
 
	Sisa 1 Kamar
   
				Kost Singgahsini Sherwood Residence Tipe D Grogol Petamburan Jakarta Barat
			  Grogol petamburan 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 2.170.000
						 
							/ bulan
						  4.8",jakarta,Putri,Grogol petamburan,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",2170000
"Campur
 
	Sisa 2 Kamar
   
				Kost Singgahsini Gelong Residence 27 Tipe A Grogol Petamburan Jakarta Barat
			  Grogol petamburan 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 2.520.000
						 
							/ bulan
						  4.7",jakarta,Campur,Grogol petamburan,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",2520000
"Putra
 
	Sisa 1 Kamar
   
				Kost Singgahsini Malira Tipe B Tomang Jakarta Barat
			  Grogol petamburan 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 2.380.500
						 
							/ bulan",jakarta,Putra,Grogol petamburan,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",2380500
"Campur
 
	Sisa 1 Kamar
   
				Kost Singgahsini Pavillion 66 Tipe B Palmerah Jakarta Barat
			  Palmerah 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 2.088.000
						 
							/ bulan
						  4.5",jakarta,Campur,Palmerah,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",2088000
"Putra
    
				Kost Singgahsini Sherwood Residence Tipe B Grogol Petamburan Jakarta Barat
			  Grogol petamburan 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 2.120.000
						 
							/ bulan
						  4.5",jakarta,Putra,Grogol petamburan,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",2120000
"Campur
 
	Sisa 1 Kamar
   
				Kost Singgahsini Pavillion 66 Tipe C Palmerah Jakarta Barat
			  Palmerah 
				WiFi · Akses 24 Jam
			     
							Rp 1.670.000
						 
							/ bulan
						  4.8",jakarta,Campur,Palmerah,"['WiFi ', ' Akses 24 Jam']",1670000
"Kos Andalan
 
	Campur
    
				Kost East Residence Tipe C Setiabudi Jakarta Selatan
			  Setiabudi 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 3.250.000
						 
							/ bulan",jakarta,Campur,Setiabudi,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",3250000
"Campur
 
	Sisa 3 Kamar
   
				Kost LeGreen Suite Kuningan No. 89 Tipe B Setiabudi Jakarta Selatan
			  Setiabudi 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 5.000.000
						 
							/ bulan",jakarta,Campur,Setiabudi,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",5000000
"Campur
    
				Kost LeGreen Suite Kuningan 89 Tipe A Setiabudi Jakarta Selatan
			  Setiabudi 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 5.000.000
						 
							/ bulan",jakarta,Campur,Setiabudi,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",5000000
"Kos Andalan
 
	Campur
    
				Kost East Residence Tipe B Setiabudi Jakarta Selatan
			  Setiabudi 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 4.000.000
						 
							/ bulan",jakarta,Campur,Setiabudi,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",4000000
"Kos Andalan
 
	Campur
    
				Kost Golden Mansion Tipe Suite Setia Budi Jakarta Selatan
			  Setiabudi 
				K. Mandi Dalam · WiFi
			     
							Rp 5.500.000
						 
							/ bulan",jakarta,Campur,Setiabudi,"['K. Mandi Dalam','WiFi']",5500000
"Kos Andalan
 
	Putri
    
				Kost Shafiyya BSD  Griya Loka Tipe D Serpong Tangerang Selatan
			  Serpong 
				WiFi · Akses 24 Jam
			     
							Rp 800.000
						 
							/ bulan",jakarta,Putri,Serpong,"['WiFi','Akses 24 Jam']",800000
"Kos Andalan
 
	Putri
    
				Kost AIIIR Residence Tipe Middle Serpong Tangerang Selatan
			   
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.200.000
						 
							/ bulan",jakarta,Putri,Tangerang Selatan,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",1200000
