texts,kota,type_kos,area,fasilitas,harga_nomina
"Campur
 
	Sisa 2 Kamar
   
				Kost Jl. Taman Tlogomulyo Cluster Pedurungan Semarang
			  Pedurungan 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 950.000
						 
							/ bulan",semarang,Campur,Pedurungan,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",950000
"Putri
 
	Sisa 1 Kamar
   
				Kost Halwa Graha Syuhada Pedurungan Semarang
			  Pedurungan 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.200.000
						 
							/ bulan",semarang,Putri,Pedurungan,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",1200000
"Putri
 
	Sisa 2 Kamar
   
				Kost Tlogo Nila 2 Pedurungan Semarang
			  Pedurungan 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 600.000
						 
							/ bulan
						  5.0",semarang,Putri,Pedurungan,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",600000
"Kos Andalan
 
	Putra
    
				Kost Dekat Swalayan ADA Majapahit Semarang
			  Pedurungan 
				
			     
							Rp 500.000
						 
							/ bulan",semarang,Putra,Pedurungan,[''],500000
"Kos Andalan
 
	Campur
    
				Kost Anugerah Baru Tipe A Pedurungan Semarang
			  Pedurungan 
				K. Mandi Dalam
			     
							Rp 750.000
						 
							/ bulan
						  4.9",semarang,Campur,Pedurungan,['K. Mandi Dalam'],750000
"Kos Andalan
 
	Campur
    
				Kost Anugerah Baru Tipe B Pedurungan Semarang
			  Pedurungan 
				K. Mandi Dalam
			     
							Rp 850.000
						 
							/ bulan",semarang,Campur,Pedurungan,['K. Mandi Dalam'],850000
"Campur
 
	Sisa 2 Kamar
   
				Kost Paviliun Gemah Permai Tembalang Semarang
			  Tembalang 
				K. Mandi Dalam · WiFi
			     
							Rp 750.000
						 
							/ bulan",semarang,Campur,Tembalang,"['K. Mandi Dalam ', ' WiFi']",750000
"Kos Andalan
 
	Putri
    
				Kost Azalea Pedurungan Semarang
			   
				K. Mandi Dalam · WiFi
			     
							Rp 700.000
						 
							/ bulan",semarang,Putri,Pedurungan,"['K. Mandi Dalam','WiFi']",700000
"Campur
 
	Sisa 1 Kamar
   
				Kost Cemara Hijau Tipe B Pedurungan Semarang
			  Pedurungan 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.400.000
						 
							/ bulan",semarang,Campur,Pedurungan,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",1400000
"Kos Andalan
 
	Putri
    
				Kost Griya Belriz Tipe B Pedurungan Semarang
			  Pedurungan 
				K. Mandi Dalam · WiFi
			     
							Rp 1.250.000
						 
							/ bulan",semarang,Putri,Pedurungan,"['K. Mandi Dalam','WiFi']",1250000
"Campur
 
	Sisa 1 Kamar
   
				Kost Pandu 12 Pedurungan Semarang
			  Pedurungan 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 750.000
						 
							/ bulan",semarang,Campur,Pedurungan,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",750000
"Campur
    
				Kost D'cosmo Pedurungan Semarang
			  Pedurungan 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.500.000
						 
							/ bulan",semarang,Campur,Pedurungan,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",1500000
"Putri
 
	Sisa 3 Kamar
   
				Kost Jalan Puskesmas Pedurungan Semarang
			  Pedurungan 
				
			     
							Rp 500.000
						 
							/ bulan",semarang,Putri,Pedurungan,[''],500000
"Campur
 
	Sisa 1 Kamar
   
				Kost Beekost Pedurungan Semarang
			  Pedurungan 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.000.000
						 
							/ bulan",semarang,Campur,Pedurungan,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",1000000
"Putri
 
	Sisa 1 Kamar
   
				Kost Putri Halwa Graha Syuhada Pedurungan Semarang
			  Pedurungan 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 600.000
						 
							/ bulan",semarang,Putri,Pedurungan,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",600000
"Campur
 
	Sisa 3 Kamar
   
				Kost Ibu Titik Pedurungan Semarang
			  Pedurungan 
				Akses 24 Jam
			     
							Rp 500.000
						 
							/ bulan",semarang,Campur,Pedurungan,['Akses 24 Jam'],500000
"Kos Andalan
 
	Putri
    
				Kost Griya Belriz Tipe A Pedurungan Semarang
			  Pedurungan 
				K. Mandi Dalam · WiFi
			     
							Rp 775.000
						 
							/ bulan",semarang,Putri,Pedurungan,"['K. Mandi Dalam','WiFi']",775000
"Campur
 
	Sisa 1 Kamar
   
				Kost Beekost Syuhada Pedurungan Semarang
			  Pedurungan 
				K. Mandi Dalam · Akses 24 Jam
			     
							Rp 1.000.000
						 
							/ bulan
						  5.0",semarang,Campur,Pedurungan,"['K. Mandi Dalam ', ' Akses 24 Jam']",1000000
"Campur
    
				Kost Wisma Gang Pace Tipe B Kota Semarang
			  Genuk 
				K. Mandi Dalam · Akses 24 Jam
			     
							Rp 550.000
						 
							/ bulan",semarang,Campur,Genuk,"['K. Mandi Dalam','Akses 24 Jam']",550000
"Putra
    
				Kost Goldy Asshdiqy I Genuk Semarang
			   
				Akses 24 Jam
			     
							Rp 410.000
						 
							/ bulan",semarang,Putra,Genuk,['Akses 24 Jam'],410000
"Campur
 
	Sisa 1 Kamar
   
				Kost Ibu Jujuk Genuk Semarang
			  Genuk 
				K. Mandi Dalam · Akses 24 Jam
			     
							Rp 450.000
						 
							/ bulan",semarang,Campur,Genuk,"['K. Mandi Dalam ', ' Akses 24 Jam']",450000
"Putri
 
	Sisa 4 Kamar
   
				Kost Arsy Genuk Semarang
			  Genuk 
				K. Mandi Dalam
			     
							Rp 500.000
						 
							/ bulan",semarang,Putri,Genuk,['K. Mandi Dalam'],500000
"Putra
 
	Sisa 1 Kamar
   
				Kost Pak Was Genuk Semarang 
			  Genuk 
				WiFi
			     
							Rp 550.000
						 
							/ bulan",semarang,Putra,Genuk,['WiFi'],550000
"Campur
    
				Kost Wisma Gang Pace Tipe A Kota Semarang
			  Genuk 
				K. Mandi Dalam · Akses 24 Jam
			     
							Rp 450.000
						 
							/ bulan",semarang,Campur,Genuk,"['K. Mandi Dalam','Akses 24 Jam']",450000
"Kos Andalan
 
        Putra
    
                                Kost Pandean Tipe A Semarang Selatan
                          Semarang Selatan 
                                K. Mandi Dalam · WiFi
                             
                                                        Rp 1.300.000
                                                 
                                                        / bulan",semarang,Putra,Semarang Selatan,"['K. Mandi Dalam','WiFi']",1300000
"Kos Andalan
 
	Campur
    
				Kost Orshid Lamper Semarang  Selatan
			  Semarang Selatan 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.600.000
						 
							/ bulan",semarang,Campur,Semarang Selatan,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",1600000
"Kos Andalan
 
	Putri
    
				Kost La Ville Wonodri  Semarang Selatan
			  Semarang Selatan 
				K. Mandi Dalam · WiFi
			     
							Rp 1.200.000
						 
							/ bulan",semarang,Putri,Semarang Selatan,"[K. Mandi Dalam','WiFi']",1200000
